source,target,weight
1,3367,{'weight': 1}
1,1024,{'weight': 1}
1,709,{'weight': 1}
1,3349,{'weight': 1}
1,1580,{'weight': 1}
1,545,{'weight': 1}
1,146,{'weight': 1}
1,1198,{'weight': 1}
1,1589,{'weight': 1}
1,3341,{'weight': 1}
1,3339,{'weight': 1}
1,2402,{'weight': 1}
1,2401,{'weight': 1}
1,1382,{'weight': 1}
1,3335,{'weight': 1}
1,3317,{'weight': 1}
1,3329,{'weight': 1}
1,3332,{'weight': 1}
1,3330,{'weight': 1}
1,1867,{'weight': 1}
1,1197,{'weight': 1}
1,3319,{'weight': 1}
1,1885,{'weight': 1}
1,1862,{'weight': 1}
1,1886,{'weight': 1}
1,649,{'weight': 1}
1,154,{'weight': 1}
1,3316,{'weight': 1}
1,617,{'weight': 1}
1,3313,{'weight': 1}
1,3300,{'weight': 1}
1,1522,{'weight': 1}
1,2391,{'weight': 1}
1,896,{'weight': 1}
1,3298,{'weight': 1}
1,462,{'weight': 1}
1,3295,{'weight': 1}
1,432,{'weight': 1}
1,3292,{'weight': 1}
1,3290,{'weight': 1}
1,2383,{'weight': 1}
1,1195,{'weight': 1}
1,3283,{'weight': 1}
1,1875,{'weight': 1}
1,3279,{'weight': 1}
1,2378,{'weight': 1}
1,1579,{'weight': 1}
1,291,{'weight': 1}
1,454,{'weight': 1}
1,2375,{'weight': 1}
1,292,{'weight': 1}
1,158,{'weight': 1}
1,3256,{'weight': 1}
1,1846,{'weight': 1}
1,3259,{'weight': 1}
1,1066,{'weight': 1}
1,1061,{'weight': 1}
1,3253,{'weight': 1}
1,1860,{'weight': 1}
1,3247,{'weight': 1}
1,2368,{'weight': 1}
1,151,{'weight': 1}
1,3245,{'weight': 1}
1,1574,{'weight': 1}
1,290,{'weight': 1}
1,1570,{'weight': 1}
1,3233,{'weight': 1}
1,891,{'weight': 1}
1,1856,{'weight': 1}
1,115,{'weight': 1}
1,3215,{'weight': 1}
1,483,{'weight': 1}
1,1365,{'weight': 1}
1,3211,{'weight': 1}
1,3210,{'weight': 1}
1,3189,{'weight': 1}
1,3193,{'weight': 1}
1,1847,{'weight': 1}
1,3202,{'weight': 1}
1,2351,{'weight': 1}
1,1063,{'weight': 1}
1,2352,{'weight': 1}
1,1051,{'weight': 1}
1,3173,{'weight': 1}
1,1843,{'weight': 1}
1,3163,{'weight': 1}
1,1186,{'weight': 1}
1,7341,{'weight': 1}
1,2342,{'weight': 1}
1,3139,{'weight': 1}
1,3167,{'weight': 1}
1,459,{'weight': 1}
1,2338,{'weight': 1}
1,1842,{'weight': 1}
1,2334,{'weight': 1}
1,3156,{'weight': 1}
1,817,{'weight': 1}
1,1840,{'weight': 1}
1,3141,{'weight': 1}
1,1521,{'weight': 1}
1,3149,{'weight': 1}
1,2324,{'weight': 1}
1,1839,{'weight': 1}
1,3143,{'weight': 1}
1,3148,{'weight': 1}
1,3142,{'weight': 1}
1,1060,{'weight': 1}
1,7431,{'weight': 1}
1,1355,{'weight': 1}
1,3134,{'weight': 1}
1,174,{'weight': 1}
1,2315,{'weight': 1}
1,1356,{'weight': 1}
1,3124,{'weight': 1}
1,1835,{'weight': 1}
1,296,{'weight': 1}
1,1180,{'weight': 1}
1,3118,{'weight': 1}
1,1542,{'weight': 1}
1,3113,{'weight': 1}
1,3111,{'weight': 1}
1,3013,{'weight': 1}
1,529,{'weight': 1}
1,1826,{'weight': 1}
1,3103,{'weight': 1}
1,1822,{'weight': 1}
1,3101,{'weight': 1}
1,753,{'weight': 1}
1,3083,{'weight': 1}
1,3088,{'weight': 1}
1,395,{'weight': 1}
1,3084,{'weight': 1}
1,333,{'weight': 1}
1,1339,{'weight': 1}
1,3068,{'weight': 1}
1,3042,{'weight': 1}
1,3078,{'weight': 1}
1,596,{'weight': 1}
1,1796,{'weight': 1}
1,2281,{'weight': 1}
1,3070,{'weight': 1}
1,1442,{'weight': 1}
1,3064,{'weight': 1}
1,194,{'weight': 1}
1,3062,{'weight': 1}
1,701,{'weight': 1}
1,3059,{'weight': 1}
1,124,{'weight': 1}
1,7427,{'weight': 1}
1,3057,{'weight': 1}
1,396,{'weight': 1}
1,2276,{'weight': 1}
1,2273,{'weight': 1}
1,3048,{'weight': 1}
1,523,{'weight': 1}
1,2271,{'weight': 1}
1,95,{'weight': 1}
1,1525,{'weight': 1}
1,2235,{'weight': 1}
1,2261,{'weight': 1}
1,1342,{'weight': 1}
1,331,{'weight': 1}
1,3027,{'weight': 1}
1,3023,{'weight': 1}
1,3026,{'weight': 1}
1,373,{'weight': 1}
1,68,{'weight': 1}
1,1331,{'weight': 1}
1,116,{'weight': 1}
1,2147,{'weight': 1}
1,3020,{'weight': 1}
1,2252,{'weight': 1}
1,179,{'weight': 1}
1,3004,{'weight': 1}
1,491,{'weight': 1}
1,214,{'weight': 1}
1,439,{'weight': 1}
1,3010,{'weight': 1}
1,2090,{'weight': 1}
1,3006,{'weight': 1}
1,810,{'weight': 1}
1,1167,{'weight': 1}
1,697,{'weight': 1}
1,67,{'weight': 1}
1,258,{'weight': 1}
1,1793,{'weight': 1}
1,3000,{'weight': 1}
1,2999,{'weight': 1}
1,1340,{'weight': 1}
1,2996,{'weight': 1}
1,2989,{'weight': 1}
1,1043,{'weight': 1}
1,554,{'weight': 1}
1,1336,{'weight': 1}
1,1337,{'weight': 1}
1,2238,{'weight': 1}
1,178,{'weight': 1}
1,747,{'weight': 1}
1,2966,{'weight': 1}
1,2962,{'weight': 1}
1,474,{'weight': 1}
1,330,{'weight': 1}
1,260,{'weight': 1}
1,2952,{'weight': 1}
1,455,{'weight': 1}
1,2941,{'weight': 1}
1,2947,{'weight': 1}
1,2945,{'weight': 1}
1,2942,{'weight': 1}
1,623,{'weight': 1}
1,1509,{'weight': 1}
1,2926,{'weight': 1}
1,29,{'weight': 1}
1,2217,{'weight': 1}
1,123,{'weight': 1}
1,1510,{'weight': 1}
1,1505,{'weight': 1}
1,2927,{'weight': 1}
1,804,{'weight': 1}
1,2920,{'weight': 1}
1,301,{'weight': 1}
1,2782,{'weight': 1}
1,2907,{'weight': 1}
1,2909,{'weight': 1}
1,958,{'weight': 1}
1,1148,{'weight': 1}
1,1502,{'weight': 1}
1,2904,{'weight': 1}
1,955,{'weight': 1}
1,874,{'weight': 1}
1,2898,{'weight': 1}
1,1500,{'weight': 1}
1,2198,{'weight': 1}
1,1320,{'weight': 1}
1,1760,{'weight': 1}
1,1494,{'weight': 1}
1,2178,{'weight': 1}
1,2892,{'weight': 1}
1,636,{'weight': 1}
1,1034,{'weight': 1}
1,276,{'weight': 1}
1,2876,{'weight': 1}
1,1318,{'weight': 1}
1,259,{'weight': 1}
1,2881,{'weight': 1}
1,117,{'weight': 1}
1,1492,{'weight': 1}
1,2185,{'weight': 1}
1,1313,{'weight': 1}
1,1491,{'weight': 1}
1,2870,{'weight': 1}
1,1309,{'weight': 1}
1,2181,{'weight': 1}
1,2858,{'weight': 1}
1,2177,{'weight': 1}
1,1749,{'weight': 1}
1,2848,{'weight': 1}
1,1458,{'weight': 1}
1,951,{'weight': 1}
1,1029,{'weight': 1}
1,2176,{'weight': 1}
1,347,{'weight': 1}
1,2846,{'weight': 1}
1,2845,{'weight': 1}
1,370,{'weight': 1}
1,2173,{'weight': 1}
1,2844,{'weight': 1}
1,1302,{'weight': 1}
1,2167,{'weight': 1}
1,2837,{'weight': 1}
1,517,{'weight': 1}
1,2826,{'weight': 1}
1,2166,{'weight': 1}
1,2163,{'weight': 1}
1,1742,{'weight': 1}
1,2830,{'weight': 1}
1,1295,{'weight': 1}
1,2823,{'weight': 1}
1,2632,{'weight': 1}
1,2820,{'weight': 1}
1,2814,{'weight': 1}
1,796,{'weight': 1}
1,1736,{'weight': 1}
1,1025,{'weight': 1}
1,1482,{'weight': 1}
1,1483,{'weight': 1}
1,2152,{'weight': 1}
1,2810,{'weight': 1}
1,2149,{'weight': 1}
1,2808,{'weight': 1}
1,2144,{'weight': 1}
1,2806,{'weight': 1}
1,1128,{'weight': 1}
1,38,{'weight': 1}
1,2801,{'weight': 1}
1,736,{'weight': 1}
1,2136,{'weight': 1}
1,2795,{'weight': 1}
1,2793,{'weight': 1}
1,1288,{'weight': 1}
1,1436,{'weight': 1}
1,2498,{'weight': 1}
1,7603,{'weight': 1}
1,2786,{'weight': 1}
1,2784,{'weight': 1}
1,587,{'weight': 1}
1,2783,{'weight': 1}
1,2780,{'weight': 1}
1,944,{'weight': 1}
1,305,{'weight': 1}
1,2779,{'weight': 1}
1,2775,{'weight': 1}
1,346,{'weight': 1}
1,683,{'weight': 1}
1,2772,{'weight': 1}
1,2129,{'weight': 1}
1,75,{'weight': 1}
1,2771,{'weight': 1}
1,175,{'weight': 1}
1,1136,{'weight': 1}
1,1283,{'weight': 1}
1,2127,{'weight': 1}
1,2767,{'weight': 1}
1,2764,{'weight': 1}
1,2763,{'weight': 1}
1,2093,{'weight': 1}
1,1284,{'weight': 1}
1,72,{'weight': 1}
1,264,{'weight': 1}
1,2754,{'weight': 1}
1,2756,{'weight': 1}
1,1285,{'weight': 1}
1,613,{'weight': 1}
1,304,{'weight': 1}
1,1282,{'weight': 1}
1,4721,{'weight': 1}
1,2752,{'weight': 1}
1,2750,{'weight': 1}
1,2746,{'weight': 1}
1,586,{'weight': 1}
1,2747,{'weight': 1}
1,2119,{'weight': 1}
1,1715,{'weight': 1}
1,1475,{'weight': 1}
1,734,{'weight': 1}
1,2744,{'weight': 1}
1,2108,{'weight': 1}
1,1923,{'weight': 1}
1,2743,{'weight': 1}
1,1465,{'weight': 1}
1,1720,{'weight': 1}
1,2742,{'weight': 1}
1,2117,{'weight': 1}
1,90,{'weight': 1}
1,2707,{'weight': 1}
1,1457,{'weight': 1}
1,2731,{'weight': 1}
1,2725,{'weight': 1}
1,2109,{'weight': 1}
1,2713,{'weight': 1}
1,155,{'weight': 1}
1,543,{'weight': 1}
1,2102,{'weight': 1}
1,231,{'weight': 1}
1,1708,{'weight': 1}
1,2700,{'weight': 1}
1,2687,{'weight': 1}
1,1413,{'weight': 1}
1,1129,{'weight': 1}
1,2695,{'weight': 1}
1,76,{'weight': 1}
1,1445,{'weight': 1}
1,2065,{'weight': 1}
1,2619,{'weight': 1}
1,2605,{'weight': 1}
1,1251,{'weight': 1}
1,2586,{'weight': 1}
1,1117,{'weight': 1}
1,300,{'weight': 1}
1,1248,{'weight': 1}
1,725,{'weight': 1}
1,578,{'weight': 1}
1,2559,{'weight': 1}
1,507,{'weight': 1}
1,1942,{'weight': 1}
1,1232,{'weight': 1}
1,42,{'weight': 1}
1,534,{'weight': 1}
1,994,{'weight': 1}
1,503,{'weight': 1}
1,2448,{'weight': 1}
1,846,{'weight': 1}
1,2,{'weight': 1}
1,7348,{'weight': -1}
1,7425,{'weight': -1}
1,7557,{'weight': -1}
1,7589,{'weight': -1}
430,1,{'weight': 10}
430,13,{'weight': -10}
430,59,{'weight': 10}
430,247,{'weight': -1}
430,831,{'weight': 10}
430,817,{'weight': 5}
430,1055,{'weight': 5}
430,7595,{'weight': 2}
430,7509,{'weight': -2}
3134,1,{'weight': 10}
3134,22,{'weight': 1}
3134,27,{'weight': 1}
3134,617,{'weight': 1}
3026,1,{'weight': 10}
3010,1,{'weight': 10}
804,1,{'weight': 10}
804,25,{'weight': 1}
804,26,{'weight': 1}
804,85,{'weight': 1}
804,204,{'weight': 2}
804,7583,{'weight': 3}
804,1020,{'weight': 1}
160,1,{'weight': 10}
160,18,{'weight': 1}
160,57,{'weight': 1}
160,89,{'weight': 5}
160,294,{'weight': 10}
160,7579,{'weight': 5}
160,952,{'weight': 4}
160,1845,{'weight': 3}
160,817,{'weight': 1}
160,945,{'weight': 1}
95,1,{'weight': 9}
95,3,{'weight': 1}
95,4,{'weight': 2}
95,6,{'weight': 3}
95,7,{'weight': 8}
95,8,{'weight': 2}
95,11,{'weight': 1}
95,19,{'weight': 3}
95,24,{'weight': 2}
95,25,{'weight': 3}
95,26,{'weight': 1}
95,29,{'weight': 2}
95,31,{'weight': 2}
95,32,{'weight': 1}
95,33,{'weight': 3}
95,36,{'weight': -10}
95,38,{'weight': 1}
95,40,{'weight': 1}
95,41,{'weight': 2}
95,42,{'weight': 1}
95,43,{'weight': 2}
95,47,{'weight': 1}
95,56,{'weight': 1}
95,62,{'weight': 2}
95,67,{'weight': 1}
95,73,{'weight': 1}
95,75,{'weight': 1}
95,82,{'weight': 1}
95,92,{'weight': 2}
95,93,{'weight': 3}
95,188,{'weight': 9}
95,394,{'weight': 7}
95,1829,{'weight': 3}
95,493,{'weight': 3}
95,526,{'weight': 2}
95,391,{'weight': 2}
95,315,{'weight': 2}
95,242,{'weight': 2}
95,331,{'weight': 2}
95,5679,{'weight': 2}
95,179,{'weight': 2}
95,221,{'weight': 2}
95,966,{'weight': 2}
95,345,{'weight': 2}
95,411,{'weight': 2}
95,278,{'weight': 2}
95,2410,{'weight': 1}
95,3403,{'weight': 1}
95,245,{'weight': 1}
95,464,{'weight': 1}
95,1065,{'weight': 1}
95,2336,{'weight': 1}
95,191,{'weight': 1}
95,205,{'weight': 1}
95,105,{'weight': 1}
95,1889,{'weight': 1}
95,154,{'weight': 1}
95,2953,{'weight': 1}
95,373,{'weight': 1}
95,3302,{'weight': 1}
95,1370,{'weight': 1}
95,666,{'weight': 1}
95,5342,{'weight': 1}
95,1874,{'weight': 1}
95,136,{'weight': 1}
95,3246,{'weight': 1}
95,413,{'weight': 1}
95,246,{'weight': 1}
95,2358,{'weight': 1}
95,553,{'weight': 1}
95,3179,{'weight': 1}
95,1045,{'weight': 1}
95,332,{'weight': 1}
95,244,{'weight': 1}
95,1278,{'weight': 1}
95,104,{'weight': 1}
95,174,{'weight': 1}
95,2330,{'weight': 1}
95,1307,{'weight': 1}
95,241,{'weight': 1}
95,7432,{'weight': 1}
95,7550,{'weight': 1}
95,172,{'weight': 1}
95,643,{'weight': 1}
95,2304,{'weight': 1}
95,111,{'weight': 1}
95,752,{'weight': 1}
95,941,{'weight': 1}
95,1171,{'weight': 1}
95,318,{'weight': 1}
95,1348,{'weight': 1}
95,123,{'weight': 1}
95,185,{'weight': 1}
95,882,{'weight': 1}
95,813,{'weight': 1}
95,228,{'weight': 1}
95,396,{'weight': 1}
95,362,{'weight': 1}
95,428,{'weight': 1}
95,7497,{'weight': -1}
95,103,{'weight': -1}
95,3134,{'weight': -1}
95,2257,{'weight': -1}
95,177,{'weight': -1}
95,7339,{'weight': -1}
95,145,{'weight': -1}
95,424,{'weight': -1}
95,124,{'weight': -1}
95,7580,{'weight': -1}
95,288,{'weight': -2}
95,125,{'weight': -10}
95,2369,{'weight': -10}
95,7602,{'weight': -10}
95,7601,{'weight': -10}
95,7599,{'weight': -10}
95,7598,{'weight': -10}
95,7604,{'weight': -10}
95,7574,{'weight': -10}
95,7581,{'weight': -10}
95,7584,{'weight': -10}
95,7600,{'weight': -10}
95,7548,{'weight': -10}
377,1,{'weight': 7}
377,363,{'weight': 10}
377,399,{'weight': 10}
377,3413,{'weight': 1}
888,1,{'weight': 7}
888,58,{'weight': 2}
888,213,{'weight': 2}
888,261,{'weight': 2}
888,1886,{'weight': 1}
89,1,{'weight': 7}
89,2,{'weight': 1}
89,10,{'weight': 1}
89,28,{'weight': 10}
89,29,{'weight': 1}
89,37,{'weight': 5}
89,41,{'weight': 1}
89,48,{'weight': 1}
89,77,{'weight': 1}
89,85,{'weight': 2}
89,373,{'weight': 7}
89,395,{'weight': 5}
89,160,{'weight': 5}
89,369,{'weight': 2}
89,175,{'weight': 2}
89,124,{'weight': 1}
89,2269,{'weight': 1}
89,699,{'weight': 1}
89,519,{'weight': 1}
89,122,{'weight': 1}
89,945,{'weight': 1}
89,587,{'weight': 1}
89,946,{'weight': 1}
89,154,{'weight': 1}
89,629,{'weight': 1}
89,2097,{'weight': 1}
89,516,{'weight': 1}
89,1708,{'weight': 1}
89,2096,{'weight': 1}
89,253,{'weight': 1}
89,90,{'weight': 1}
89,1690,{'weight': 1}
89,406,{'weight': 1}
89,1267,{'weight': 1}
89,2628,{'weight': 1}
89,2625,{'weight': 1}
89,2623,{'weight': 1}
89,302,{'weight': 1}
89,931,{'weight': 1}
89,1453,{'weight': 1}
89,254,{'weight': 1}
89,132,{'weight': 1}
89,3774,{'weight': 1}
89,2043,{'weight': 1}
89,7439,{'weight': -10}
89,7564,{'weight': -10}
1901,1,{'weight': 6}
161,1,{'weight': 6}
161,2,{'weight': 1}
161,7,{'weight': 2}
161,10,{'weight': 5}
161,31,{'weight': 1}
161,41,{'weight': 1}
161,43,{'weight': 2}
161,69,{'weight': 1}
161,77,{'weight': 2}
161,78,{'weight': 1}
161,103,{'weight': 1}
161,156,{'weight': 1}
161,550,{'weight': 4}
161,635,{'weight': 3}
161,260,{'weight': 2}
161,1322,{'weight': 2}
161,1022,{'weight': 2}
161,7600,{'weight': 1}
161,695,{'weight': 1}
161,1324,{'weight': 1}
161,1039,{'weight': 1}
161,623,{'weight': 1}
161,454,{'weight': 1}
161,2213,{'weight': 1}
161,592,{'weight': 1}
161,1765,{'weight': 1}
161,2209,{'weight': 1}
161,1770,{'weight': 1}
161,1505,{'weight': 1}
161,520,{'weight': 1}
161,690,{'weight': 1}
161,1494,{'weight': 1}
161,204,{'weight': 1}
161,1140,{'weight': 1}
161,1313,{'weight': 1}
161,798,{'weight': -1}
256,1,{'weight': 6}
256,9,{'weight': 2}
256,18,{'weight': 3}
256,38,{'weight': 3}
256,40,{'weight': 3}
256,42,{'weight': 1}
256,57,{'weight': 1}
256,60,{'weight': 3}
256,65,{'weight': 1}
256,67,{'weight': 2}
256,69,{'weight': 1}
256,75,{'weight': 1}
256,121,{'weight': 2}
256,156,{'weight': 1}
256,175,{'weight': 1}
256,236,{'weight': 1}
256,1739,{'weight': 3}
256,329,{'weight': 1}
256,672,{'weight': 1}
256,485,{'weight': 1}
256,632,{'weight': 1}
256,947,{'weight': 1}
256,479,{'weight': 1}
256,4934,{'weight': 1}
256,1970,{'weight': 1}
256,943,{'weight': 1}
256,2792,{'weight': 1}
256,2790,{'weight': 1}
256,346,{'weight': 1}
256,7592,{'weight': -10}
351,1,{'weight': 5}
351,3,{'weight': 4}
351,12,{'weight': 1}
351,34,{'weight': 2}
351,36,{'weight': 1}
351,58,{'weight': 1}
351,82,{'weight': 4}
351,96,{'weight': 1}
351,105,{'weight': 1}
351,120,{'weight': 1}
351,222,{'weight': 2}
351,432,{'weight': 2}
351,1893,{'weight': 1}
351,1594,{'weight': 1}
351,1924,{'weight': 1}
351,759,{'weight': 1}
3329,1,{'weight': 5}
3341,1,{'weight': 5}
649,1,{'weight': 5}
649,12,{'weight': 1}
649,33,{'weight': 2}
649,34,{'weight': 1}
649,105,{'weight': 1}
649,118,{'weight': 1}
649,123,{'weight': 1}
649,125,{'weight': 2}
649,310,{'weight': 1}
649,1192,{'weight': 1}
649,1885,{'weight': 1}
649,650,{'weight': 1}
649,1197,{'weight': 1}
1583,1,{'weight': 5}
87,1,{'weight': 5}
87,2,{'weight': 2}
87,3,{'weight': 1}
87,7,{'weight': 2}
87,15,{'weight': 1}
87,19,{'weight': 1}
87,27,{'weight': 1}
87,31,{'weight': 2}
87,33,{'weight': 1}
87,42,{'weight': 2}
87,64,{'weight': 2}
87,67,{'weight': 2}
87,85,{'weight': 1}
87,86,{'weight': 2}
87,397,{'weight': 4}
87,126,{'weight': 2}
87,1070,{'weight': 2}
87,206,{'weight': 2}
87,707,{'weight': 2}
87,424,{'weight': 2}
87,602,{'weight': 2}
87,454,{'weight': 2}
87,2080,{'weight': 2}
87,241,{'weight': 2}
87,158,{'weight': 2}
87,96,{'weight': 1}
87,291,{'weight': 1}
87,192,{'weight': 1}
87,171,{'weight': 1}
87,1045,{'weight': 1}
87,157,{'weight': 1}
87,526,{'weight': 1}
87,3318,{'weight': 1}
87,1884,{'weight': 1}
87,702,{'weight': 1}
87,259,{'weight': 1}
87,280,{'weight': 1}
87,2155,{'weight': 1}
87,163,{'weight': 1}
87,7412,{'weight': 1}
87,309,{'weight': 1}
87,154,{'weight': 1}
87,3306,{'weight': 1}
87,1863,{'weight': 1}
87,1880,{'weight': 1}
87,1156,{'weight': 1}
87,288,{'weight': 1}
87,1381,{'weight': 1}
87,572,{'weight': 1}
87,592,{'weight': 1}
87,395,{'weight': 1}
87,133,{'weight': -1}
87,214,{'weight': -1}
87,491,{'weight': -2}
87,7415,{'weight': -2}
87,7552,{'weight': -8}
87,7591,{'weight': -10}
87,7473,{'weight': -10}
87,7542,{'weight': -10}
37,1,{'weight': 5}
37,2,{'weight': 10}
37,4,{'weight': 7}
37,9,{'weight': 2}
37,10,{'weight': 8}
37,14,{'weight': 1}
37,15,{'weight': 3}
37,16,{'weight': 8}
37,20,{'weight': 8}
37,21,{'weight': 5}
37,25,{'weight': 1}
37,28,{'weight': 5}
37,31,{'weight': 5}
37,1019,{'weight': 7}
37,7552,{'weight': 7}
37,312,{'weight': 6}
37,297,{'weight': 6}
37,54,{'weight': 6}
37,159,{'weight': 5}
37,314,{'weight': 5}
37,657,{'weight': 5}
37,113,{'weight': 5}
37,89,{'weight': 4}
37,479,{'weight': 4}
37,380,{'weight': 4}
37,601,{'weight': 3}
37,41,{'weight': 3}
37,168,{'weight': 3}
37,7403,{'weight': 3}
37,185,{'weight': 3}
37,594,{'weight': 2}
37,166,{'weight': 2}
37,66,{'weight': 2}
37,570,{'weight': 2}
37,610,{'weight': 2}
37,561,{'weight': 2}
37,1926,{'weight': 2}
37,990,{'weight': 2}
37,7400,{'weight': 2}
37,1076,{'weight': 1}
37,1764,{'weight': 1}
37,75,{'weight': 1}
37,1025,{'weight': 1}
37,65,{'weight': 1}
37,140,{'weight': 1}
37,97,{'weight': 1}
37,1399,{'weight': 1}
37,91,{'weight': 1}
37,40,{'weight': 1}
37,1632,{'weight': 1}
37,474,{'weight': 1}
37,7371,{'weight': -8}
37,7564,{'weight': -10}
37,7448,{'weight': -10}
309,1,{'weight': 5}
309,3,{'weight': 1}
309,5,{'weight': 2}
309,11,{'weight': 3}
309,42,{'weight': 1}
309,87,{'weight': 1}
309,92,{'weight': 1}
309,125,{'weight': 1}
309,248,{'weight': 1}
309,292,{'weight': 1}
309,416,{'weight': 1}
309,3334,{'weight': 1}
309,1885,{'weight': 1}
309,1353,{'weight': 1}
309,637,{'weight': 1}
309,702,{'weight': 1}
309,1180,{'weight': 1}
309,894,{'weight': 1}
309,759,{'weight': 1}
309,3274,{'weight': 1}
309,3172,{'weight': 1}
309,3254,{'weight': 1}
309,1372,{'weight': 1}
821,1,{'weight': 5}
821,92,{'weight': 5}
821,334,{'weight': 1}
821,648,{'weight': 1}
1496,1,{'weight': 5}
1496,330,{'weight': 1}
637,1,{'weight': 5}
637,7,{'weight': 1}
637,52,{'weight': 3}
637,58,{'weight': 1}
637,309,{'weight': 1}
637,432,{'weight': 2}
637,759,{'weight': 1}
964,1,{'weight': 5}
964,30,{'weight': 1}
964,46,{'weight': 1}
964,162,{'weight': 3}
594,1,{'weight': 5}
594,18,{'weight': 8}
594,37,{'weight': 2}
594,1582,{'weight': 1}
594,1522,{'weight': 1}
2249,1,{'weight': 5}
554,1,{'weight': 5}
554,8,{'weight': 5}
554,600,{'weight': 10}
20,1,{'weight': 5}
20,2,{'weight': 10}
20,6,{'weight': 2}
20,9,{'weight': 9}
20,11,{'weight': 4}
20,14,{'weight': 8}
20,15,{'weight': 6}
20,17,{'weight': 4}
20,22,{'weight': 9}
20,31,{'weight': 8}
20,37,{'weight': 8}
20,47,{'weight': 8}
20,188,{'weight': 8}
20,65,{'weight': 8}
20,1042,{'weight': 7}
20,159,{'weight': 7}
20,231,{'weight': 6}
20,730,{'weight': 5}
20,489,{'weight': 5}
20,372,{'weight': 5}
20,66,{'weight': 5}
20,366,{'weight': 5}
20,52,{'weight': 4}
20,152,{'weight': 4}
20,176,{'weight': 4}
20,145,{'weight': 4}
20,1301,{'weight': 4}
20,211,{'weight': 4}
20,38,{'weight': 4}
20,892,{'weight': 3}
20,491,{'weight': 3}
20,122,{'weight': 3}
20,90,{'weight': 3}
20,241,{'weight': 3}
20,212,{'weight': 3}
20,586,{'weight': 3}
20,272,{'weight': 3}
20,729,{'weight': 3}
20,41,{'weight': 2}
20,83,{'weight': 2}
20,807,{'weight': 2}
20,1771,{'weight': 2}
20,45,{'weight': 2}
20,108,{'weight': 2}
20,26,{'weight': 2}
20,131,{'weight': 2}
20,155,{'weight': 2}
20,870,{'weight': 2}
20,1269,{'weight': 1}
20,198,{'weight': 1}
20,1145,{'weight': 1}
20,60,{'weight': 1}
20,1127,{'weight': 1}
20,177,{'weight': -1}
20,7565,{'weight': -2}
20,7577,{'weight': -5}
20,7547,{'weight': -10}
2227,1,{'weight': 5}
1315,1,{'weight': 5}
1315,793,{'weight': 4}
519,1,{'weight': 5}
519,6,{'weight': 1}
519,27,{'weight': 2}
519,49,{'weight': 1}
519,89,{'weight': 1}
519,110,{'weight': 1}
519,142,{'weight': 1}
519,146,{'weight': 1}
519,453,{'weight': 1}
519,745,{'weight': 2}
519,1164,{'weight': 1}
519,1288,{'weight': 1}
519,2899,{'weight': 1}
519,946,{'weight': 1}
1316,1,{'weight': 5}
2149,1,{'weight': 5}
